,z3-base,z3-base,z3-base,z3-base,z3-base,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later
,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment
AProVE/aproveSMT2074126738747006657.smt2,476,42680,unsat,7.0,23.0,466,42676,unsat,7.0,23.0,,0,382,41900,unsat,7.0,23.0,,0
AProVE/aproveSMT3711749212931521777.smt2,25647,59000,sat,1140.0,5435.0,16626,53164,sat,796.0,3262.0,10.0,0,19492,53800,sat,807.0,3365.0,,0
AProVE/aproveSMT6938486677643116355.smt2,628,42672,sat,31.0,93.0,563,43452,sat,31.0,93.0,,0,586,43452,sat,31.0,93.0,,0
AProVE/aproveSMT7397365938290364314.smt2,502,42684,unsat,61.0,197.0,592,42688,unsat,61.0,197.0,,0,515,41928,unsat,61.0,197.0,,0
AProVE/aproveSMT2163640444650240229.smt2,1817,41904,sat,118.0,415.0,1509,44724,sat,86.0,441.0,5.0,0,1802,43460,sat,118.0,415.0,,0
AProVE/aproveSMT1493211122690909738.smt2,59594,85916,sat,842.0,12045.0,49807,68168,sat,1038.0,8343.0,35.0,0,63028,3072,timeout,,,,0
AProVE/aproveSMT4972425496508857728.smt2,479,43456,sat,20.0,45.0,439,42712,sat,20.0,45.0,,0,367,43444,sat,20.0,45.0,,0
AProVE/aproveSMT4451679907389951935.smt2,728,44264,unsat,108.0,320.0,758,43456,unsat,120.0,325.0,,0,764,42688,unsat,120.0,325.0,,0
AProVE/aproveSMT2691792941397936620.smt2,519,41912,sat,2.0,13.0,416,42692,sat,2.0,13.0,,0,469,42704,sat,2.0,13.0,,0
AProVE/aproveSMT5801445291144328999.smt2,466,44720,unsat,3.0,11.0,381,41900,unsat,3.0,11.0,,0,426,41908,unsat,3.0,11.0,,0
