,z3-base,z3-base,z3-base,z3-base,z3-base,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later
,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment
20211101-Geogebra/Triangle-Area_Perimeter_a.smt2,462,41912,sat,1.0,3.0,454,44764,sat,1.0,3.0,,0,480,43460,sat,1.0,3.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_15b.smt2,468,43448,sat,1.0,2.0,480,42684,sat,1.0,2.0,,0,435,43464,sat,1.0,2.0,,0
20211101-Geogebra/RightTriangle-Bottema6_1b.smt2,448,42676,sat,1.0,1.0,456,42700,sat,1.0,1.0,,0,417,43456,sat,1.0,1.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_19b.smt2,433,43472,sat,1.0,3.0,372,42696,sat,1.0,3.0,,0,423,43464,sat,1.0,3.0,,0
20211101-Geogebra/PythagoreanGeneralization_Triangle-aa+bb_cc.smt2,416,42672,sat,1.0,2.0,429,41912,sat,1.0,2.0,,0,432,42680,sat,1.0,2.0,,0
20211101-Geogebra/Triangle-Perimeter_2Medians_a.smt2,430,44712,sat,1.0,2.0,451,43468,sat,1.0,2.0,,0,475,42684,sat,1.0,2.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_4b.smt2,429,42676,sat,1.0,2.0,432,45496,sat,1.0,2.0,,0,461,42684,sat,1.0,2.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_4a.smt2,428,41896,sat,1.0,4.0,392,43456,sat,1.0,4.0,,0,430,42680,sat,1.0,4.0,,0
20211101-Geogebra/RightTriangle-Bottema11_20a.smt2,447,42700,sat,1.0,1.0,472,42692,sat,1.0,1.0,,0,382,42672,sat,1.0,1.0,,0
20211101-Geogebra/IsoTriangle-Bottema6_1b.smt2,420,44712,sat,1.0,2.0,416,42688,sat,1.0,2.0,,0,436,42680,sat,1.0,2.0,,0
20211101-Geogebra/RegHexagon-ProductDiagonals_CircumRadius.smt2,473,43464,sat,1.0,13.0,483,44716,sat,1.0,13.0,,0,445,42672,sat,1.0,13.0,,0
20211101-Geogebra/IsoTriangle-Perimeter_CircumRadius_c.smt2,63026,3072,timeout,,,520,42696,sat,5.0,149.0,20.0,0,456,44248,sat,3.0,76.0,4.0,0
20211101-Geogebra/IsoRightTriangle-Bottema1_9a.smt2,419,42688,sat,1.0,2.0,448,43444,sat,1.0,2.0,,0,418,45508,sat,1.0,2.0,,0
20211101-Geogebra/OposicionsSecundariaCatalunya2018-2_4a.smt2,461,43460,sat,1.0,27.0,471,44748,sat,1.0,27.0,,0,448,42680,sat,1.0,27.0,,0
20211101-Geogebra/IsoTriangle-Area_Perimeter_a.smt2,406,42672,sat,1.0,3.0,406,42672,sat,1.0,3.0,,0,432,41896,sat,1.0,3.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_7a.smt2,466,43948,sat,1.0,2.0,479,42692,sat,1.0,2.0,,0,422,42672,sat,1.0,2.0,,0
20211101-Geogebra/RegHendecagon-Diagonal_Side.smt2,63024,3840,timeout,,,63025,3840,timeout,,,,0,63026,3072,timeout,,,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_5b.smt2,449,42668,sat,1.0,2.0,546,41916,sat,1.0,2.0,,0,390,43456,sat,1.0,2.0,,0
20211101-Geogebra/RegOctagon-ProductDiagonals_CircumRadius.smt2,63022,3072,timeout,,,63025,3072,timeout,,,,0,63025,3840,timeout,,,,0
20211101-Geogebra/Triangle-Bottema1_1.smt2,429,42700,sat,1.0,2.0,442,43464,sat,1.0,2.0,,0,379,43932,sat,1.0,2.0,,0
20211101-Geogebra/Triangle-Bottema1_12.smt2,494,41900,sat,1.0,3.0,423,42688,sat,1.0,3.0,,0,409,41916,sat,1.0,3.0,,0
20211101-Geogebra/RightTriangle-Bottema8_1b.smt2,435,43452,sat,1.0,1.0,419,42680,sat,1.0,1.0,,0,400,42672,sat,1.0,1.0,,0
20211101-Geogebra/RightTriangle-Bottema1_19a.smt2,546,43444,sat,11.0,43.0,386,42680,sat,2.0,19.0,5.0,0,581,42688,sat,11.0,43.0,,0
20211101-Geogebra/Triangle-Bottema1_23.smt2,430,41904,sat,1.0,3.0,473,42680,sat,1.0,3.0,,0,457,42680,sat,1.0,3.0,,0
20211101-Geogebra/RightTriangle-Bottema1_19b.smt2,501,42676,sat,1.0,6.0,470,42680,sat,1.0,6.0,,0,442,42684,sat,1.0,6.0,,0
20211101-Geogebra/RightTriangle-Bottema1_1a.smt2,449,43960,sat,1.0,1.0,383,41912,sat,1.0,1.0,,0,395,45492,sat,1.0,1.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema5_3b.smt2,447,42724,sat,1.0,2.0,393,44152,sat,1.0,2.0,,0,408,41472,sat,1.0,2.0,,0
20211101-Geogebra/Triangle-SymmHomPoly_3-2-1.smt2,448,45496,sat,1.0,3.0,426,41916,sat,1.0,3.0,,0,458,43468,sat,1.0,3.0,,0
20211101-Geogebra/IsoTriangle-Bottema4_2b.smt2,475,42684,sat,1.0,3.0,519,41144,sat,1.0,3.0,,0,477,43448,sat,1.0,3.0,,0
20211101-Geogebra/Odom-GoldenRatio-RegTriangle.smt2,480,42696,sat,1.0,7.0,401,42680,sat,1.0,7.0,,0,421,43440,sat,1.0,7.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_7b.smt2,459,42672,sat,1.0,2.0,423,41912,sat,1.0,2.0,,0,394,42676,sat,1.0,2.0,,0
20211101-Geogebra/RegPentagon-Diagonal_Side.smt2,33891,48116,sat,16.0,94.0,41274,46860,sat,32.0,183.0,20.0,0,35782,47868,sat,25.0,243.0,15.0,0
20211101-Geogebra/RightTriangle-Bottema11_20b.smt2,397,43448,sat,1.0,1.0,362,43444,sat,1.0,1.0,,0,464,42692,sat,1.0,1.0,,0
20211101-Geogebra/IsoTriangle-Bottema8_1b.smt2,436,42668,sat,1.0,1.0,481,42692,sat,1.0,1.0,,0,383,41912,sat,1.0,1.0,,0
20211101-Geogebra/Square-Diagonal_Side.smt2,436,43456,sat,1.0,1.0,450,42684,sat,1.0,1.0,,0,487,42688,sat,1.0,1.0,,0
20211101-Geogebra/IsoTriangle-Bottema11_20a.smt2,439,43444,sat,1.0,1.0,398,42676,sat,1.0,1.0,,0,419,42684,sat,1.0,1.0,,0
20211101-Geogebra/KochanskiPiApproximation-RegDodecagon.smt2,63024,3072,timeout,,,63022,3072,timeout,,,,0,63027,3072,timeout,,,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_6a.smt2,438,43460,sat,1.0,3.0,375,41916,sat,1.0,3.0,,0,439,43948,sat,1.0,3.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_12a.smt2,422,43444,sat,1.0,2.0,415,42676,sat,1.0,2.0,,0,441,42688,sat,1.0,2.0,,0
20211101-Geogebra/IsoTriangle-Bottema11_20b.smt2,448,43468,sat,1.0,2.0,430,42672,sat,1.0,2.0,,0,448,42672,sat,1.0,2.0,,0
20211101-Geogebra/IsoTriangle-Perimeter_InRadius.smt2,476,41916,sat,1.0,1.0,465,42700,sat,1.0,1.0,,0,493,43460,sat,1.0,1.0,,0
20211101-Geogebra/RegDecagon-Diagonal_Side.smt2,63022,3072,timeout,,,63019,3840,timeout,,,,0,63022,3840,timeout,,,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_23a.smt2,376,43448,sat,1.0,2.0,426,44740,sat,1.0,2.0,,0,415,42692,sat,1.0,2.0,,0
20211101-Geogebra/IsoTriangle-Bottema1_1b.smt2,419,42680,sat,1.0,2.0,420,42676,sat,1.0,2.0,,0,464,44724,sat,1.0,2.0,,0
20211101-Geogebra/Triangle-Bottema1_15.smt2,393,43468,sat,1.0,2.0,364,43460,sat,1.0,2.0,,0,383,41828,sat,1.0,2.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_19a.smt2,436,44236,sat,1.0,2.0,396,42692,sat,1.0,2.0,,0,437,41908,sat,1.0,2.0,,0
2019-ezsmt/bouncingBall/inst_1_1000.smt2,63021,3072,timeout,,,63020,3840,timeout,,,,0,63024,3840,timeout,,,,0
2019-ezsmt/bouncingBall/inst_1_10000.smt2,19368,51320,sat,13.0,191.0,63019,3072,timeout,,,,0,63021,3072,timeout,,,,0
2019-ezsmt/bouncingBall/inst_1_100000.smt2,27096,49276,sat,17.0,184.0,63020,3072,timeout,,,,0,63018,3840,timeout,,,,0
2019-ezsmt/bouncingBall/inst_1_1000000.smt2,1762,45400,sat,6.0,195.0,52250,54608,sat,16.0,264.0,25.0,0,3494,46472,sat,7.0,215.0,15.0,0
2019-ezsmt/bouncingBall/inst_1_100.smt2,63021,3840,timeout,,,63026,3840,timeout,,,,0,63024,3072,timeout,,,,0
2019-ezsmt/generator/inst-ijcai-lin2.ez.smt2,361,43444,sat,,,701,43464,sat,,,,0,369,41124,sat,,,,0
2019-ezsmt/generator/inst-ijcai-lin8.ez.smt2,486,43456,sat,,,416,46484,sat,,,,0,467,43456,sat,,,,0
